name,year,cpi,unemploy,gdp,oilprice,cementppi,population,concreteid,Cement,Clinker,housing,construction,lime,gasppi,petrocoal,workers,silica
United States,1998,1.55227909874362,4.51,9062818202000,14.42207171314741,141.93333333333334,276154.25,119.87935,83931,74523,1474.2,1850730,20300,83.89166666666665,144.275,73768,28244
United States,1999,2.18802719697358,4.22,9631174489000,19.34498007968127,143.35,279327.5833333333,123.707575,85952,76003,1604.9,2034165,19700,91.225,135.71666666666664,78537,29111
United States,2000,3.37685727149935,3.99,10250947997000,30.37852,144.45833333333334,282398.4166666667,124.93265,87846,78138,1573.7,2182547,19600,155.49166666666665,135.15,81455,28647
United States,2001,2.82617111885402,4.73,10581929774000,25.98312,147.91666666666669,285225.1666666667,125.70506666666667,88900,78451,1570.8,2418867,18900,171.825,140.075,81918,28072
United States,2002,1.58603162650603,5.78,10929112955000,26.18496,150.075,287954.5833333333,126.87876666666666,89732,81517,1648.4,2566253,17900,122.51666666666665,137.45,80584,27550
United States,2003,2.27009497336113,5.99,11456442041000,31.07524,153.85,290626.25,129.2762,92843,81882,1678.7,2594363,19300,214.475,139.3833333333333,80828,27940
United States,2004,2.67723669309173,5.53,12217193198000,41.506024096385545,155.3,293262.3333333333,132.86365,97434,86658,1841.9,2639317,20100,245.9,144.25,83678,30190
United States,2005,3.39274684549547,5.08,13039199193000,56.637250996015936,162.14166666666665,295992.9166666667,139.47133333333335,99319,87405,1931.4,2802785,20200,335.3583333333333,161.575,88001,31311
United States,2006,3.22594410070407,4.62,13815586948000,66.05465863453816,169.15,298817.6666666667,143.8482,98167,88555,1979.4,3063195,21200,280.3583333333333,174.7,92275,29755
United States,2007,2.85267248150136,4.62,14474226905000,72.34059523809523,184.95833333333334,301696.1666666667,142.64589999999998,95464,86130,1502.8,3463922,20400,273.7833333333333,179.0833333333333,91528,30611
United States,2008,3.83910029665101,5.78,14769857911000,99.67150197628457,191.20833333333334,304543.0833333333,118.21549999999999,86310,78382,1119.7,3693541,20000,343.975,295.4083333333333,85948,30755
United States,2009,-0.35554626629975,9.25,14478064934000,61.95043650793651,197.03333333333333,307240.0833333333,82.38099166666666,63907,56116,794.4,3772079,16100,159.9833333333333,280.975,72208,27595
United States,2010,1.64004344238989,9.63,15048964444000,79.47571428571429,196.125,309838.8333333333,80.93232499999999,66447,59802,651.7,3640533,18500,185.8416666666666,655.4166666666666,66220,32432
United States,2011,3.15684156862206,8.95,15599728123000,94.88087301587302,198.00833333333333,312295.25,80.51754166666666,67895,61241,584.9,3442978,19400,171.4333333333333,904.3,66359,44116
United States,2012,2.06933726526059,8.07,16253972230000,94.05333333333333,200.24166666666667,314725.4166666667,84.5343,74151,67173,649.2,3347119,19100,117.925,775.1083333333332,67746,50906
United States,2013,1.46483265562714,7.37,16843190993000,97.98253968253968,202.36666666666667,317099,88.53789166666667,76804,69420,764.4,3241887,19300,153.8833333333333,698.6833333333332,70285,62261
United States,2014,1.62222297740821,6.17,17550680174000,93.17222222222222,207.00833333333333,319600.4166666667,93.749325,82535,74372,883.8,3305401,19600,182.4,661.0583333333332,73810,110245
United States,2015,0.118627135552435,5.28,18206020741000,48.656706349206345,208.35,322112.6666666667,98.006475,84405,76043,968.2,3515013,18300,105.38333333333331,581.8166666666666,77520,102289
United States,2016,1.26158320570537,4.87,18695110842000,43.29365079365079,215.49166666666667,324609.3333333333,101.60299166666667,84695,75633,1059.7,3570242,17300,96.2333333333333,432.075,80720,79981
United States,2017,2.13011000365963,4.36,19477336549000,50.80032,228.95833333333331,326859.6666666667,99.99998333333333,86356,76678,1152.9,3562558,17600,118.675,437.225,83605,104366
United States,2018,2.44258329692818,3.9,20533057312000,65.22746987951807,244.29166666666666,328794.5,102.19233333333334,86400,77112,1184.9,3715888,18000,112.125,595.0916666666666,87460,126392
United States,2019,1.81221007526015,3.67,21380976119000,56.98832,252.675,330512.5833333333,99.96021666666667,87600,78858,1255.1,4126938,16900,85.51666666666665,527.0416666666666,89933,108389
United States,2020,1.23358439630637,8.05,21060473613000,39.16043650793651,260.3333333333333,331787.4166666667,100.806975,89300,78951,1286.9,4435268,15900,67.49166666666666,474.175,87091,76217
