DATE,TLPBLCONS
1993-01-01,1518923
1994-01-01,1558722
1995-01-01,1670691
1996-01-01,1759153
1997-01-01,1838493
1998-01-01,1850730
1999-01-01,2034165
2000-01-01,2182547
2001-01-01,2418867
2002-01-01,2566253
2003-01-01,2594363
2004-01-01,2639317
2005-01-01,2802785
2006-01-01,3063195
2007-01-01,3463922
2008-01-01,3693541
2009-01-01,3772079
2010-01-01,3640533
2011-01-01,3442978
2012-01-01,3347119
2013-01-01,3241887
2014-01-01,3305401
2015-01-01,3515013
2016-01-01,3570242.0
2017-01-01,3562558.0
2018-01-01,3715888.0
2019-01-01,4126938.0
2020-01-01,4435268.0
2021-01-01,4301260.0
2022-01-01,4515682.0
2023-01-01,.
