DATE,USCONS
1939-01-01,14461
1940-01-01,16224
1941-01-01,22230
1942-01-01,26830
1943-01-01,19546
1944-01-01,13817
1945-01-01,14236
1946-01-01,20630
1947-01-01,24548
1948-01-01,26840
1949-01-01,26790
1950-01-01,28840
1951-01-01,32116
1952-01-01,32501
1953-01-01,32389
1954-01-01,32237
1955-01-01,34550
1956-01-01,36956
1957-01-01,36065
1958-01-01,34327
1959-01-01,36580
1960-01-01,35667
1961-01-01,34893
1962-01-01,35970
1963-01-01,36730
1964-01-01,37791
1965-01-01,39428
1966-01-01,40465
1967-01-01,39670
1968-01-01,40912
1969-01-01,43633
1970-01-01,43823
1971-01-01,45223
1972-01-01,47477
1973-01-01,50005
1974-01-01,49135
1975-01-01,43283
1976-01-01,43929
1977-01-01,47268
1978-01-01,51851
1979-01-01,54746
1980-01-01,53444
1981-01-01,51650
1982-01-01,48288
1983-01-01,48777
1984-01-01,54010
1985-01-01,57508
1986-01-01,59236
1987-01-01,61067
1988-01-01,62793
1989-01-01,63709
1990-01-01,63190
1991-01-01,57404
1992-01-01,55263
1993-01-01,57349
1994-01-01,61133
1995-01-01,63317
1996-01-01,66461
1997-01-01,69755
1998-01-01,73768
1999-01-01,78537
2000-01-01,81455
2001-01-01,81918
2002-01-01,80584
2003-01-01,80828
2004-01-01,83678
2005-01-01,88001
2006-01-01,92275
2007-01-01,91528
2008-01-01,85948
2009-01-01,72208
2010-01-01,66220
2011-01-01,66359
2012-01-01,67746
2013-01-01,70285
2014-01-01,73810
2015-01-01,77520
2016-01-01,80720
2017-01-01,83605
2018-01-01,87460
2019-01-01,89933
2020-01-01,87091
2021-01-01,89235
2022-01-01,92991
2023-01-01,.
